354,1
0,44
263,21
610,28
203,8
16,1
677,3
782,9
78,9
169,30
217,1
435,30
119,11
426,1
376,11
112,4
30,8
29,3
552,10
291,1
573,24
700,22
139,4
535,40
559,9
658,19
132,3
717,12
9,10
231,22
189,3
515,35
788,13
632,14
63,6
162,3
729,39
796,1
452,41
689,8
249,36
52,9
37,8
593,22
124,15
307,28
161,14
120,3
278,9
508,1
410,27
237,1
304,3
489,3
694,28
776,21
328,17
681,18
104,13
353,31
644,1
15,9
309,1
481,15
182,10
428,32
339,10
738,36
688,0
351,36
718,9
11,3
661,3
313,3
204,1
735,9
493,32
114,2
586,31
77,35
24,1
27,30
405,28
696,28
54,1
370,16
224,3
607,2
571,32
692,3
243,3
208,28
153,25
247,11
193,8
400,31
393,28
704,1
774,3
381,1
290,3
143,16
36,39
150,15
177,3
755,19
100,1
390,25
529,26
752,8
53,3
536,26
407,3
369,3
198,2
546,11
431,13
635,6
70,21
660,1
736,10
359,6
748,32
506,22
433,3
103,30
604,31
201,24
352,10
127,2
242,16
327,24
567,36
22,17
513,24
442,3
163,32
325,0
21,15
364,39
751,11
371,2
643,11
468,21
544,33
268,6
707,1
165,12
453,8
492,16
439,3
563,6
432,3
176,31
380,19
488,2
708,38
316,3
605,8
741,13
60,6
716,1
422,32
641,8
181,1
194,16
35,3
86,3
281,1
789,2
713,26
137,32
654,1
662,16
73,25
117,3
23,14
95,1
583,37
702,9
149,11
685,10
725,9
51,32
566,24
141,17
258,11
179,28
603,3
466,28
178,1
423,15
721,1
55,14
255,22
556,3
754,3
518,36
686,15
757,28
287,4
18,3
138,13
649,15
270,28
118,16
424,10
756,21
691,9
482,7
690,39
541,1
38,12
84,1
441,6
56,21
44,4
50,3
331,32
294,6
699,3
409,5
547,17
45,31
3,45
416,4
495,16
785,9
404,1
480,1
361,3
276,22
429,4
446,3
555,1
759,19
154,16
739,31
403,19
532,38
338,28
758,1
31,21
542,39
320,1
448,38
585,13
581,45
790,10
574,16
379,16
415,4
634,38
680,28
772,1
528,4
350,12
512,36
206,2
490,10
620,28
496,9
79,25
421,1
767,35
411,11
614,16
666,1
236,1
612,28
99,19
602,21
89,1
33,37
455,3
326,38
595,30
477,41
160,41
26,23
509,28
39,10
730,1
128,28
511,19
576,16
257,30
311,9
712,43
505,3
497,1
695,16
398,1
447,14
672,36
611,10
297,9
